Date,Open,High,Low,Close,Volume
2021-01-05,21.8,21.85,19.8,20.15,576000
2021-01-06,22.15,22.15,20.3,20.5,279000
2021-01-07,18.5,18.55,18.45,18.45,65000
2021-01-08,16.65,18.0,16.65,16.7,61000
2021-01-11,15.05,16.0,15.05,15.5,73000
2021-01-12,15.15,15.2,13.95,13.95,66000
2021-01-13,13.05,15.3,13.05,14.05,57000
2021-01-14,14.05,15.45,12.65,12.65,130000
2021-01-15,13.5,13.5,12.85,13.0,52000
2021-01-18,13.45,13.45,13.45,13.45,16000
2021-01-19,12.15,14.2,12.15,13.0,80000
2021-01-20,12.1,13.0,12.1,12.55,79000
2021-01-21,13.0,13.3,12.85,12.85,62000
2021-01-22,12.6,13.15,12.6,13.1,34000
2021-01-25,13.0,13.85,12.9,13.85,15000
2021-01-26,13.6,14.3,13.6,13.6,66000
2021-01-27,13.3,13.9,13.3,13.9,24000
2021-01-28,14.05,14.05,13.7,13.7,5000
2021-01-29,14.0,15.05,14.0,15.05,87000
2021-02-01,16.55,16.55,16.55,16.55,61000
2021-02-02,18.2,18.2,18.2,18.2,94000
2021-02-03,18.5,19.9,18.3,19.3,484000
2021-02-04,18.3,18.75,17.4,17.55,243000
2021-02-05,17.55,17.55,15.8,15.8,305000
2021-02-17,15.7,17.35,14.55,17.35,278000
2021-02-18,17.1,18.4,16.65,17.15,145000
2021-02-19,17.15,17.95,16.7,16.7,148000
2021-02-22,16.85,18.3,16.5,17.4,192000
2021-02-23,17.4,19.1,17.4,19.1,324000
2021-02-24,19.2,21.0,18.7,21.0,518000
2021-02-25,21.0,22.8,19.5,20.65,373000
2021-02-26,19.75,19.9,18.65,19.3,175000
2021-03-02,19.6,21.2,19.5,21.2,401000
2021-03-03,21.35,23.3,21.35,23.3,354000
2021-03-04,25.6,25.6,25.6,25.6,238000
2021-03-05,28.15,28.15,28.15,28.15,235000
2021-03-08,25.35,25.35,25.35,25.35,110000
2021-03-09,22.85,22.85,22.85,22.85,73000
2021-03-10,20.6,22.85,20.6,20.6,412000
2021-03-11,18.55,20.55,18.55,20.1,188000
2021-03-12,19.8,22.0,19.5,22.0,121000
2021-03-15,21.65,21.65,21.5,21.65,90000
2021-03-16,21.65,23.8,21.65,23.3,123000
2021-03-17,21.0,21.0,21.0,21.0,150000
2021-03-18,19.7,20.5,19.7,20.5,485000
2021-03-19,20.0,20.0,19.7,20.0,264000
2021-03-22,19.9,22.0,19.65,22.0,504000
2021-03-23,23.45,24.2,22.0,24.2,1544000
2021-03-24,22.8,24.7,21.85,22.85,650000
2021-03-25,22.9,23.5,21.0,21.5,343000
2021-03-26,21.85,22.9,21.25,22.5,299000
2021-03-29,22.6,23.15,21.1,21.5,471000
2021-03-30,22.0,22.0,21.1,21.4,297000
2021-03-31,21.8,21.8,20.5,21.0,455000
2021-04-01,21.0,21.0,20.3,20.6,302000
2021-04-06,21.1,21.5,20.7,21.4,248000
2021-04-07,22.2,22.2,21.05,21.4,226000
2021-04-08,21.55,21.55,21.0,21.2,256000
2021-04-09,21.3,21.3,20.65,21.0,315000
2021-04-12,21.0,21.1,20.5,20.55,164000
2021-04-13,20.7,21.0,20.35,20.5,177000
2021-04-14,20.5,21.0,20.0,20.5,237000
2021-04-15,20.75,20.75,20.1,20.15,127000
2021-04-16,20.5,20.5,20.0,20.2,116000
2021-04-19,20.4,20.4,19.1,19.35,356000
2021-04-20,19.5,19.5,19.05,19.5,251000
2021-04-21,19.55,19.55,18.6,19.35,190000
2021-04-22,19.35,19.4,18.75,18.8,192000
2021-04-23,18.8,20.0,18.2,20.0,292000
2021-04-26,20.45,20.45,19.6,19.8,186000
2021-04-27,19.8,19.8,19.2,19.4,113000
2021-04-28,19.35,19.55,19.1,19.45,91000
2021-04-29,19.55,19.6,18.85,19.25,123000
2021-05-03,19.25,19.4,18.1,18.35,52000
2021-05-04,18.55,18.85,16.85,17.15,137000
2021-05-05,17.45,17.45,16.85,17.1,87000
2021-05-06,17.95,17.95,17.0,17.35,36000
2021-05-07,17.7,17.8,17.35,17.7,74000
2021-05-10,18.0,18.5,17.3,17.95,74000
2021-05-11,17.9,17.9,16.25,16.5,96000
2021-05-12,16.15,16.8,15.45,16.0,187000
2021-05-13,15.95,16.4,15.3,15.55,83000
2021-05-14,15.55,15.95,15.0,15.1,83000
2021-05-17,13.6,15.45,13.6,14.0,78000
2021-05-18,13.05,15.05,13.05,15.0,141000
2021-05-19,15.0,15.45,14.55,14.9,34000
2021-05-20,15.4,15.4,14.3,15.0,38000
2021-05-21,15.45,15.7,15.3,15.7,71000
2021-05-24,15.7,16.1,15.4,15.95,38000
2021-05-25,16.0,16.85,15.95,16.5,76000
2021-05-26,16.5,16.55,16.0,16.5,60000
2021-05-27,16.4,16.9,16.4,16.7,44000
2021-05-28,17.5,17.5,16.35,16.7,65000
2021-05-31,16.75,16.75,16.15,16.35,31000
2021-06-01,16.35,16.75,15.95,16.75,39000
2021-06-02,16.75,16.8,16.2,16.4,27000
2021-06-03,16.75,16.75,16.05,16.4,31000
2021-06-04,16.35,16.6,16.0,16.3,28000
2021-06-07,16.75,16.75,15.35,16.0,29000
2021-06-08,16.25,16.25,15.2,15.2,57000
