Date,Open,High,Low,Close,Volume
2021-01-05,218.5,225.0,205.0,210.0,4330000
2021-01-06,199.0,199.0,189.0,189.0,1499000
2021-01-07,194.5,199.0,182.0,198.0,899000
2021-01-08,200.0,201.0,194.0,196.0,475000
2021-01-11,196.0,199.5,196.0,199.5,740000
2021-01-12,205.0,219.0,205.0,219.0,1615000
2021-01-13,226.0,240.0,225.0,225.0,1560000
2021-01-14,230.0,235.0,220.0,232.0,794000
2021-01-15,241.0,241.0,227.0,227.0,641000
2021-01-18,230.0,240.0,220.0,240.0,964000
2021-01-19,247.0,250.0,240.0,250.0,1002000
2021-01-20,260.0,261.5,228.0,232.5,5919000
2021-01-21,236.0,250.0,235.0,248.0,3750000
2021-01-22,248.5,270.0,244.0,269.0,6099000
2021-01-25,268.5,282.0,259.5,260.0,5677000
2021-01-26,262.5,266.0,234.0,236.0,6125000
2021-01-27,243.0,243.0,235.0,243.0,518000
2021-01-28,231.0,241.5,231.0,232.0,724000
2021-01-29,237.0,237.0,220.0,220.0,770000
2021-02-01,214.0,223.0,200.5,223.0,1439000
2021-02-02,222.5,244.0,222.0,242.0,1281000
2021-02-03,238.0,244.0,229.5,236.0,571000
2021-02-04,238.0,244.0,233.0,244.0,757000
2021-02-05,250.0,250.0,245.0,247.0,824000
2021-02-17,255.0,271.5,255.0,271.5,1498000
2021-02-18,275.0,298.5,275.0,290.0,1955000
2021-02-19,294.0,319.0,291.0,317.5,8313000
2021-02-22,327.5,349.0,326.0,349.0,4646000
2021-02-23,347.5,380.0,340.0,353.5,8377000
2021-02-24,351.0,372.0,328.0,333.5,6535000
2021-02-25,335.5,350.0,333.0,336.0,651000
2021-02-26,308.0,361.0,308.0,361.0,1046000
2021-03-02,370.5,381.0,347.0,347.0,1046000
2021-03-03,360.0,375.0,340.0,375.0,1039000
2021-03-04,382.0,382.0,367.5,374.0,716000
2021-03-05,361.0,380.0,361.0,380.0,935000
2021-03-08,390.0,390.0,358.0,372.0,1026000
2021-03-09,367.0,373.5,365.5,373.5,766000
2021-03-10,384.0,385.0,378.0,378.5,842000
2021-03-11,381.0,410.0,379.0,410.0,1092000
2021-03-12,429.0,451.0,421.0,451.0,5671000
2021-03-15,475.0,494.0,456.0,480.5,7429000
2021-03-16,487.0,498.0,470.0,483.0,5232000
2021-03-17,487.0,505.0,477.0,499.0,4505000
2021-03-18,505.0,505.0,490.0,495.0,524000
2021-03-19,485.0,500.0,477.5,477.5,830000
2021-03-22,485.0,485.0,477.0,482.5,576000
2021-03-23,490.0,490.0,472.0,484.0,600000
2021-03-24,474.0,493.0,474.0,493.0,435000
2021-03-25,485.5,496.0,485.5,490.5,424000
2021-03-26,497.0,525.0,497.0,515.0,743000
2021-03-29,463.5,489.5,463.5,471.0,2764000
2021-03-30,472.0,493.5,472.0,487.5,900000
2021-03-31,503.0,515.0,500.0,515.0,614000
2021-04-01,539.0,566.0,534.0,566.0,2708000
2021-04-06,584.0,615.0,558.0,565.0,3998000
2021-04-07,572.0,587.0,548.0,552.0,2065000
2021-04-08,555.0,564.0,501.0,512.0,3101000
2021-04-09,485.0,527.0,461.0,463.5,7379000
2021-04-12,472.5,488.0,418.0,448.0,7714000
2021-04-13,442.0,477.0,420.5,437.5,5998000
2021-04-14,445.0,447.0,394.0,394.0,5536000
2021-04-15,355.0,355.0,355.0,355.0,808000
2021-04-16,319.5,319.5,319.5,319.5,372000
2021-04-19,288.0,288.0,288.0,288.0,1402000
2021-04-20,295.5,316.5,295.5,316.5,1411000
2021-04-21,348.0,348.0,285.0,310.0,1721000
2021-04-22,300.0,300.0,279.0,279.0,810000
2021-04-23,251.5,251.5,251.5,251.5,498000
2021-04-26,226.5,250.0,226.5,240.0,2892000
2021-04-27,235.0,264.0,229.5,264.0,1622000
2021-04-28,262.0,276.5,262.0,272.5,902000
2021-04-29,279.0,286.0,265.0,273.0,911000
2021-05-03,280.0,280.0,246.0,246.0,832000
2021-05-04,232.0,232.0,221.5,221.5,353000
2021-05-05,199.5,223.0,199.5,199.5,1329000
2021-05-06,199.0,199.5,180.0,180.0,943000
2021-05-07,162.0,198.0,162.0,198.0,2093000
2021-05-10,199.5,217.5,199.5,217.5,1226000
2021-05-11,217.5,239.0,212.0,218.0,5875000
2021-05-12,220.5,239.5,201.5,239.5,8679000
2021-05-13,228.0,260.0,222.0,232.5,6503000
2021-05-14,239.5,247.5,209.5,212.5,4673000
2021-05-17,191.5,205.0,191.5,191.5,487000
2021-05-18,201.0,209.0,190.0,207.5,588000
2021-05-19,203.5,210.0,198.5,201.0,290000
2021-05-20,204.0,204.0,198.5,201.0,250000
2021-05-21,220.0,221.0,212.0,221.0,498000
2021-05-24,226.0,243.0,226.0,243.0,733000
2021-05-25,253.0,267.0,253.0,267.0,592000
2021-05-26,278.5,293.5,278.5,279.0,1457000
2021-05-27,298.0,298.0,277.5,277.5,854000
2021-05-28,287.5,300.0,285.0,290.0,713000
2021-05-31,312.0,315.0,300.0,315.0,754000
2021-06-01,325.5,325.5,320.0,321.0,490000
2021-06-02,326.0,326.0,289.0,310.0,752000
2021-06-03,311.0,322.0,300.0,322.0,438000
2021-06-04,313.5,330.0,313.5,323.0,415000
2021-06-07,330.0,340.0,315.5,340.0,667000
2021-06-08,350.0,374.0,350.0,365.0,788000
2021-06-09,373.0,393.0,373.0,386.0,509000
2021-06-10,393.5,398.0,369.0,390.0,523000
2021-06-11,381.5,394.0,381.5,382.0,330000
2021-06-15,396.0,406.5,386.0,406.5,480000
2021-06-16,395.5,406.5,392.0,398.0,348000
2021-06-17,408.5,428.5,398.0,418.0,3626000
2021-06-18,422.5,433.0,410.0,417.0,2018000
2021-06-21,417.0,417.0,378.5,387.5,2594000
2021-06-22,400.0,405.0,371.0,373.5,1771000
2021-06-23,380.0,407.0,376.5,396.0,2534000
2021-06-24,401.5,407.5,388.0,397.0,1270000
2021-06-25,403.0,407.0,388.0,392.0,961000
2021-06-28,388.0,394.5,368.0,370.5,2137000
2021-06-29,377.5,388.5,373.0,373.0,1475000
2021-06-30,377.0,380.0,367.0,372.0,1076000
2021-07-01,373.0,375.0,336.0,345.0,2501000
2021-07-02,312.0,379.5,312.0,379.5,5387000
2021-07-05,384.0,401.0,384.0,387.0,2996000
2021-07-06,384.0,398.5,371.0,379.5,1777000
2021-07-07,374.0,386.0,372.5,374.0,1217000
2021-07-08,384.0,411.0,378.5,411.0,3511000
2021-07-09,418.0,429.5,402.0,403.5,3959000
2021-07-12,418.5,442.5,412.5,434.0,3810000
2021-07-13,439.0,458.5,427.5,430.0,4803000
2021-07-14,438.5,450.0,425.0,432.0,2877000
2021-07-15,442.0,460.0,436.0,451.5,4608000
2021-07-16,444.5,456.0,435.0,450.0,836000
2021-07-19,450.0,456.0,441.5,446.5,622000
2021-07-20,444.5,445.0,414.0,429.0,939000
2021-07-21,438.5,439.0,424.5,425.0,705000
2021-07-22,434.0,456.0,425.0,450.0,1013000
2021-07-23,453.0,454.0,443.0,446.0,464000
2021-07-26,452.0,479.0,452.0,466.5,943000
2021-07-27,471.0,473.0,440.0,440.0,942000
2021-07-28,431.0,439.0,396.0,421.0,1022000
2021-07-29,435.5,459.5,426.0,458.0,685000
2021-07-30,443.5,458.0,413.0,419.0,2529000
2021-08-02,410.0,439.5,405.5,437.0,3263000
2021-08-03,445.5,478.0,432.5,456.0,6940000
2021-08-04,467.0,477.0,458.5,473.5,4886000
2021-08-05,467.0,484.5,452.5,453.0,3052000
2021-08-06,455.5,474.5,451.0,473.0,3133000
2021-08-09,470.5,479.5,448.0,453.0,2932000
2021-08-10,452.5,465.0,432.5,435.5,2304000
2021-08-11,438.0,441.5,395.5,402.5,3675000
2021-08-12,408.0,420.0,399.5,400.0,2618000
2021-08-13,405.0,416.0,396.0,407.0,2135000
2021-08-16,399.5,409.5,368.5,381.5,3850000
2021-08-17,388.0,392.5,368.5,371.0,2160000
2021-08-18,361.0,398.0,344.5,398.0,4133000
2021-08-19,385.0,412.0,385.0,395.5,3340000
2021-08-20,396.0,422.5,393.5,420.0,3523000
2021-08-23,424.0,438.5,422.0,423.5,2583000
2021-08-24,432.0,434.0,406.0,410.0,1841000
2021-08-25,415.5,427.0,412.5,422.5,2035000
2021-08-26,425.0,429.0,408.0,410.0,1416000
2021-08-27,407.0,414.5,399.0,399.0,1270000
2021-08-30,406.0,406.0,391.0,395.5,1024000
2021-08-31,396.0,406.0,391.5,400.0,1107000
2021-09-01,402.0,425.0,400.0,409.5,2038000
2021-09-02,407.5,414.5,400.0,404.0,1982000
2021-09-03,409.5,424.0,406.0,416.0,2479000
2021-09-06,416.0,419.0,406.0,406.5,1393000
2021-09-07,415.0,416.0,393.0,393.0,1621000
2021-09-08,390.0,401.0,378.0,392.0,1543000
2021-09-09,393.0,397.0,384.5,386.0,1216000
2021-09-10,389.5,391.0,371.0,373.0,1847000
2021-09-13,366.0,384.5,338.0,379.0,5289000
2021-09-14,383.0,396.5,379.5,379.5,2508000
2021-09-15,379.5,383.5,371.0,379.0,1264000
2021-09-16,381.5,387.0,357.0,357.0,2049000
2021-09-17,357.5,370.0,348.0,360.0,2460000
2021-09-22,339.0,353.0,339.0,345.0,1315000
2021-09-23,355.0,356.5,338.5,342.5,1178000
2021-09-24,346.0,353.0,345.0,350.0,836000
2021-09-27,352.0,357.0,345.0,349.0,733000
2021-09-28,349.0,351.0,342.0,347.0,622000
2021-09-29,338.0,343.5,324.5,326.5,1231000
2021-09-30,333.5,333.5,309.0,325.0,1282000
2021-10-01,323.0,323.0,304.5,306.5,1249000
2021-10-04,301.5,321.0,299.5,299.5,2077000
2021-10-05,309.5,328.0,286.0,322.5,3181000
2021-10-06,325.0,332.5,310.5,316.5,1987000
2021-10-07,325.0,343.0,320.5,334.5,2090000
2021-10-08,340.0,353.0,336.5,344.0,2304000
2021-10-12,340.0,366.0,337.0,365.0,2123000
2021-10-13,363.0,366.0,356.0,360.5,1827000
2021-10-14,359.5,372.5,357.0,360.0,1652000
2021-10-15,366.0,392.0,366.0,383.0,3366000
2021-10-18,383.0,390.0,376.5,380.5,1650000
2021-10-19,383.5,395.5,381.5,388.5,1740000
2021-10-20,394.5,420.0,393.0,412.0,4215000
2021-10-21,407.0,428.0,407.0,413.0,2757000
2021-10-22,413.0,423.5,410.0,419.0,2209000
2021-10-25,420.0,429.5,399.0,402.5,2491000
2021-10-26,409.0,420.0,401.5,412.0,2277000
2021-10-27,414.0,421.0,406.5,415.0,1658000
2021-10-28,412.5,421.0,397.0,399.5,2826000
2021-10-29,408.0,415.0,393.5,396.0,2308000
2021-11-01,401.0,408.5,392.0,398.0,2025000
2021-11-02,400.0,405.0,390.5,392.0,1934000
2021-11-03,391.0,395.0,383.5,385.0,1164000
2021-11-04,391.0,408.0,386.0,389.0,2098000
2021-11-05,396.5,406.5,391.0,397.5,1655000
2021-11-08,402.0,414.5,400.0,407.0,1822000
2021-11-09,410.0,416.5,401.5,403.5,1296000
2021-11-10,409.0,412.0,402.0,410.5,939000
2021-11-11,412.0,451.5,412.0,451.5,3470000
2021-11-12,496.5,496.5,461.0,496.5,6819000
2021-11-15,522.0,532.0,511.0,514.0,6033000
2021-11-16,519.0,538.0,508.0,525.0,3968000
2021-11-17,525.0,531.0,497.5,531.0,1222000
2021-11-18,527.0,540.0,522.0,522.0,664000
2021-11-19,517.0,517.0,498.0,498.0,1523000
2021-11-22,488.0,507.0,488.0,504.0,721000
2021-11-23,507.0,515.0,501.0,503.0,413000
2021-11-24,507.0,507.0,490.0,493.5,684000
2021-11-25,488.0,488.0,444.5,468.0,2630000
2021-11-26,465.0,488.5,465.0,471.0,894000
2021-11-29,460.0,500.0,460.0,493.0,840000
2021-11-30,502.0,508.0,494.0,500.0,749000
2021-12-01,500.0,509.0,485.0,486.0,1364000
2021-12-02,480.5,483.5,439.5,455.0,2328000
2021-12-03,461.0,465.0,442.0,449.5,1500000
2021-12-06,449.0,451.5,432.0,435.0,1703000
2021-12-07,437.0,462.0,435.0,452.0,2392000
2021-12-08,458.0,461.5,436.0,439.0,1480000
2021-12-09,443.5,447.0,423.5,427.0,1197000
2021-12-10,427.0,432.5,423.5,427.5,777000
2021-12-13,433.0,433.0,420.0,422.0,770000
2021-12-14,421.0,422.0,400.0,400.0,1403000
2021-12-15,400.0,420.0,393.5,418.5,1731000
2021-12-16,428.5,433.0,420.0,421.5,1207000
2021-12-17,420.0,424.5,407.5,424.5,1184000
2021-12-20,416.5,426.0,414.0,418.5,603000
2021-12-21,415.0,439.0,415.0,431.5,1317000
2021-12-22,434.0,439.5,425.5,427.0,777000
2021-12-23,433.0,437.0,426.0,426.5,504000
2021-12-24,430.0,435.0,425.0,425.0,737000
2021-12-27,428.5,467.5,428.5,454.5,2495000
2021-12-28,456.5,465.0,440.5,447.5,1548000
2021-12-29,456.0,463.0,450.0,451.5,1671000
2021-12-30,460.0,476.0,454.0,474.0,2185000
2022-01-03,484.0,493.0,467.5,487.5,2976000
2022-01-04,495.0,499.0,463.5,463.5,3490000
2022-01-05,464.0,469.5,440.5,440.5,2059000
2022-01-06,441.0,449.0,435.0,439.0,1395000
2022-01-07,437.0,447.5,411.0,420.5,2081000
2022-01-10,418.5,432.5,410.5,428.0,1266000
2022-01-11,428.0,431.0,413.0,413.0,798000
2022-01-12,420.5,426.0,410.5,424.0,832000
2022-01-13,426.0,436.0,421.5,433.5,1218000
