Date,Open,High,Low,Close,Volume
2021-01-05,25.8,25.9,25.45,25.75,340000
2021-01-06,26.0,26.05,25.05,25.05,415000
2021-01-07,25.25,25.3,25.0,25.1,203000
2021-01-08,25.65,25.65,24.9,25.0,261000
2021-01-11,26.0,27.0,25.85,26.5,2080000
2021-01-12,26.7,26.75,25.35,25.5,758000
2021-01-13,26.0,26.2,25.35,25.6,322000
2021-01-14,25.75,25.9,25.3,25.45,328000
2021-01-15,25.7,25.8,25.05,25.05,455000
2021-01-18,25.05,25.1,24.3,24.8,219000
2021-01-19,24.85,25.7,24.8,25.6,730000
2021-01-20,25.6,25.8,24.4,24.5,556000
2021-01-21,24.8,24.85,23.7,23.9,377000
2021-01-22,24.1,24.1,23.65,23.85,266000
2021-01-25,23.85,24.15,23.45,24.15,235000
2021-01-26,24.15,24.4,23.95,24.0,203000
2021-01-27,24.2,24.55,24.0,24.25,142000
2021-01-28,23.8,24.25,23.7,24.0,104000
2021-01-29,24.4,24.55,23.7,23.7,170000
2021-02-01,23.65,23.65,23.2,23.35,148000
2021-02-02,23.45,23.9,23.4,23.65,67000
2021-02-03,23.95,24.0,23.45,23.5,134000
2021-02-04,23.5,23.9,23.5,23.65,88000
2021-02-05,23.8,23.8,23.65,23.7,125000
2021-02-17,23.7,25.15,22.8,24.5,7213000
2021-02-18,24.1,24.45,24.05,24.35,410000
2021-02-19,24.45,24.7,24.2,24.6,418000
2021-02-22,25.05,25.2,24.75,24.9,572000
2021-02-23,25.0,25.3,24.8,25.25,606000
2021-02-24,25.65,25.75,25.15,25.15,748000
2021-02-25,25.3,25.5,25.2,25.25,353000
2021-02-26,25.2,25.5,25.0,25.5,248000
2021-03-02,25.85,25.9,25.25,25.3,425000
2021-03-03,25.35,25.35,25.05,25.05,150000
2021-03-04,25.15,25.3,24.7,24.75,276000
2021-03-05,24.8,24.8,24.4,24.45,262000
2021-03-08,25.3,25.3,24.4,24.4,155000
2021-03-09,24.4,24.45,24.15,24.3,102000
2021-03-10,24.45,24.6,24.2,24.2,167000
2021-03-11,24.35,24.5,24.25,24.3,189000
2021-03-12,24.5,24.5,24.2,24.2,356000
2021-03-15,24.35,24.5,24.2,24.5,154000
2021-03-16,24.7,24.95,24.5,24.95,375000
2021-03-17,25.1,25.3,25.05,25.1,586000
2021-03-18,25.3,25.3,25.0,25.15,279000
2021-03-19,25.2,25.5,25.15,25.4,350000
2021-03-22,25.4,25.5,25.05,25.2,576000
2021-03-23,25.4,25.45,24.85,24.85,494000
2021-03-24,24.9,25.4,24.85,25.4,315000
2021-03-25,25.6,25.6,25.25,25.35,428000
2021-03-26,25.6,25.8,25.45,25.6,559000
2021-03-29,25.7,25.85,25.4,25.45,335000
2021-03-30,25.55,25.65,25.4,25.55,309000
2021-03-31,25.6,25.8,25.6,25.75,430000
2021-04-01,26.75,27.15,26.3,26.4,2340000
2021-04-06,26.5,26.9,26.35,26.4,884000
2021-04-07,26.7,26.7,26.4,26.6,678000
2021-04-08,26.95,27.6,26.7,27.6,1348000
2021-04-09,28.5,28.55,27.35,27.35,2217000
2021-04-12,27.35,27.8,27.2,27.4,1557000
2021-04-13,26.5,26.75,25.55,25.55,823000
2021-04-14,25.7,26.2,24.6,25.3,631000
2021-04-15,25.5,25.9,25.4,25.7,451000
2021-04-16,26.0,26.45,25.7,26.2,3707000
2021-04-19,26.5,26.5,25.75,25.95,797000
2021-04-20,25.9,26.75,25.5,26.5,962000
2021-04-21,26.75,28.2,26.6,28.1,3199000
2021-04-22,29.0,29.9,26.7,26.85,4634000
2021-04-23,26.9,29.5,26.3,29.5,5176000
2021-04-26,32.45,32.45,32.45,32.45,2473000
2021-04-27,35.65,35.65,34.65,35.65,13952000
2021-04-28,36.0,37.4,34.8,35.6,15893000
2021-04-29,35.5,36.85,33.8,36.1,8502000
2021-05-03,36.2,37.0,32.6,33.2,7802000
2021-05-04,33.2,33.9,29.9,30.1,5087000
2021-05-05,30.75,31.85,29.05,29.05,4188000
2021-05-06,29.2,29.95,27.6,28.05,3376000
2021-05-07,28.5,30.05,28.35,29.85,2853000
2021-05-10,29.45,29.45,27.05,27.5,3648000
2021-05-11,27.0,27.0,24.75,25.1,2963000
2021-05-12,25.05,25.1,22.6,22.85,3080000
2021-05-13,22.35,23.45,21.15,23.25,1642000
2021-05-14,23.7,24.3,22.35,22.45,1515000
2021-05-17,20.95,21.85,20.25,20.25,1264000
2021-05-18,20.95,22.25,20.65,22.25,736000
2021-05-19,22.8,23.7,21.85,23.25,996000
2021-05-20,23.2,23.45,22.6,22.6,310000
2021-05-21,22.95,23.3,22.6,22.95,444000
2021-05-24,22.95,23.65,22.3,23.25,563000
2021-05-25,23.7,25.2,23.5,24.55,1347000
2021-05-26,24.55,24.8,23.9,24.45,486000
2021-05-27,24.2,24.45,23.85,24.3,295000
2021-05-28,24.5,25.4,24.5,24.7,693000
2021-05-31,25.15,25.4,24.65,24.95,558000
2021-06-01,25.3,25.95,25.2,25.6,829000
2021-06-02,25.85,25.85,24.3,24.8,799000
2021-06-03,24.95,25.2,24.5,25.0,406000
2021-06-04,24.95,25.1,24.55,24.55,370000
2021-06-07,24.55,24.8,23.85,24.25,408000
2021-06-08,24.6,24.65,24.25,24.65,299000
2021-06-09,24.75,24.85,24.3,24.8,299000
2021-06-10,24.6,25.1,24.5,24.7,430000
2021-06-11,25.25,25.9,25.0,25.5,908000
2021-06-15,26.4,28.05,26.15,28.05,3655000
2021-06-16,28.5,29.45,27.1,28.1,5881000
2021-06-17,28.0,28.1,27.3,27.45,1032000
2021-06-18,27.95,28.5,27.55,27.6,833000
2021-06-21,26.6,27.15,26.05,26.2,1237000
2021-06-22,26.8,27.5,26.0,26.05,668000
2021-06-23,26.15,27.3,26.15,26.5,964000
2021-06-24,27.0,27.25,26.35,27.15,571000
2021-06-25,27.4,27.75,27.0,27.4,828000
2021-06-28,27.6,28.65,27.4,28.15,1913000
2021-06-29,29.0,29.45,28.2,28.25,2706000
2021-06-30,28.25,28.7,27.45,28.3,1165000
2021-07-01,28.9,28.95,26.8,27.4,1547000
2021-07-02,27.45,28.4,27.1,28.3,1218000
2021-07-05,29.45,31.1,28.85,31.1,8417000
2021-07-06,30.95,30.95,29.15,29.45,4736000
2021-07-07,28.8,29.95,28.7,29.1,1473000
2021-07-08,29.25,29.4,28.7,28.9,817000
2021-07-09,28.6,29.15,28.2,28.3,1242000
2021-07-12,28.65,28.65,27.4,27.5,2358000
