Date,Open,High,Low,Close,Volume
2021-01-05,45.0,45.0,42.55,42.95,167000
2021-01-06,42.95,43.5,42.25,42.6,107000
2021-01-07,42.6,43.35,42.3,43.15,77000
2021-01-08,43.15,43.5,42.9,43.5,114000
2021-01-11,43.5,43.5,42.6,42.7,67000
2021-01-12,42.1,42.5,41.0,41.4,140000
2021-01-13,41.4,41.8,41.3,41.3,82000
2021-01-14,41.1,41.3,40.3,40.3,153000
2021-01-15,40.0,40.0,39.6,39.6,135000
2021-01-18,39.4,39.5,39.1,39.1,98000
2021-01-19,41.0,41.0,40.0,40.05,125000
2021-01-20,40.05,40.55,39.5,40.1,56000
2021-01-21,40.1,42.5,40.1,41.7,190000
2021-01-22,41.5,41.95,41.0,41.0,77000
2021-01-25,41.0,41.15,39.0,39.95,132000
2021-01-26,39.95,40.5,39.9,39.95,91000
2021-01-27,39.95,40.3,39.9,40.0,109000
2021-01-28,38.5,40.0,38.5,39.7,67000
2021-01-29,39.8,40.1,39.25,39.25,58000
2021-02-01,39.25,39.45,38.95,39.1,51000
2021-02-02,39.2,39.6,39.0,39.6,46000
2021-02-03,39.8,40.8,39.8,39.9,53000
2021-02-04,39.8,39.8,38.7,39.6,88000
2021-02-05,39.8,40.0,39.45,39.5,112000
2021-02-17,42.2,42.2,39.5,39.85,91000
2021-02-18,40.05,40.3,39.8,39.9,58000
2021-02-19,40.0,43.85,40.0,43.85,326000
2021-02-22,46.95,48.2,45.5,48.2,1243000
2021-02-23,53.0,53.0,51.2,53.0,2204000
2021-02-24,53.0,53.0,48.2,49.7,1281000
2021-02-25,49.2,51.1,47.55,50.5,552000
2021-02-26,49.0,51.8,48.8,49.45,443000
2021-03-02,50.3,50.4,47.05,47.05,342000
2021-03-03,43.0,45.8,42.35,42.65,754000
2021-03-04,42.7,42.7,40.1,41.85,169000
2021-03-05,41.5,41.5,40.3,40.5,171000
2021-03-08,40.5,41.7,40.5,40.5,140000
2021-03-09,40.65,40.85,39.6,40.5,112000
2021-03-10,40.7,42.2,40.55,41.45,85000
2021-03-11,41.45,42.1,41.45,41.9,73000
2021-03-12,42.1,42.5,41.9,42.3,76000
2021-03-15,42.5,42.5,41.9,42.1,61000
