Date,Open,High,Low,Close,Volume
2021-01-05,47.94401115900055,48.47183379273716,46.53648189849329,48.11995315551758,16187141
2021-01-06,48.64777921101618,49.263574564232016,45.392863791859334,46.624454498291016,23005901
2021-01-07,47.064307297953164,47.944013976419576,46.44851195186374,46.80039596557617,9953929
2021-01-08,47.680099659348315,48.29589496688998,46.096628408394345,47.06430435180664,14141873
2021-01-11,47.24025200637453,50.05531420961715,47.152279320008134,49.70343017578125,26722104
2021-01-12,49.967337545488846,51.37487021296779,47.50415957216893,48.64777755737305,28304010
2021-01-13,48.82371956028474,49.26357288965667,47.944012901540866,48.64777755737305,10201542
2021-01-14,48.55980910683843,48.9996624441181,46.976337763794554,47.41619110107422,13121763
2021-01-15,47.416192506978405,48.64777987438963,46.18460178375244,47.5041618347168,15757361
2021-01-18,47.68010477734434,49.79139888663839,46.800398059518116,48.82372283935547,20642293
2021-01-19,48.82371535369031,49.263568645165,47.944008770740936,48.20792007446289,9752984
2021-01-20,48.647777592367724,48.647777592367724,44.60112830156081,45.4808349609375,18685549
2021-01-21,46.00865781649362,46.53648382792873,44.33721716981895,44.86503982543945,12418235
2021-01-22,44.95301087875209,46.09663226961525,43.985334854283735,45.39286422729492,12246513
2021-01-25,47.15227420335306,48.11995351348814,45.8327142533807,46.888362884521484,16371958
2021-01-26,46.80039584445583,47.68010252064554,45.30489382377038,45.744747161865234,9575670
2021-01-27,45.92068949649776,46.536484845395066,45.30489414760045,46.184600830078125,5486195
2021-01-28,44.86503929100872,46.00865726844015,44.42518596462629,45.04098129272461,6822481
2021-01-29,46.00865746790539,48.82371944012028,44.42518615722656,44.42518615722656,37712990
2021-02-01,44.42518903771225,44.953011723557175,42.70976027499407,43.105628967285156,9452541
2021-02-02,43.897363166361465,44.77706981614174,43.6774365039164,43.98533248901367,5496455
2021-02-03,44.689095069146994,45.39285968523309,44.249241764616386,44.513153076171875,6404913
2021-02-04,43.54547814970712,44.161273461370925,43.36953615268683,43.41352081298828,4596017
2021-02-05,43.545480902253104,43.94134958161835,42.75374354352263,43.01765823364258,5663115
2021-02-17,44.24924566468405,45.83271702939634,44.07330365620163,45.56880569458008,8262420
2021-02-18,45.30489651323576,46.360545258493545,45.04098516587503,46.09663391113281,6494964
2021-02-19,45.480834130096284,47.064305416884636,45.39286145227695,46.71242141723633,7869449
2021-02-22,47.15227674012124,49.26357411598951,46.97633808864444,47.85604476928711,15475925
2021-02-23,46.976339773944346,49.615459910552126,46.88836708923521,48.38386917114258,15596669
2021-02-24,48.03198514393563,49.17560655445083,47.85604648614694,48.38386917114258,13633392
2021-02-25,49.08763108785552,49.43951509512056,47.94401309796604,48.031982421875,9681542
