Date,Open,High,Low,Close,Volume
2021-01-05,37.55,38.1,37.4,37.85,74000
2021-01-06,37.9,37.9,37.3,37.3,47000
2021-01-07,37.3,37.4,37.2,37.3,10000
2021-01-08,37.3,37.35,36.65,36.85,34000
2021-01-11,35.0,36.3,35.0,35.7,62000
2021-01-12,35.8,35.8,35.4,35.4,20000
2021-01-13,35.5,35.6,35.35,35.4,12000
2021-01-14,36.3,36.45,36.2,36.2,7000
2021-01-15,35.3,35.6,35.1,35.5,25000
2021-01-18,35.55,36.15,35.5,35.5,18000
2021-01-19,35.6,36.05,35.6,35.65,14000
2021-01-20,35.7,35.8,35.5,35.5,18000
2021-01-21,36.85,36.85,35.15,35.15,12000
2021-01-22,35.0,35.15,35.0,35.05,9000
2021-01-25,35.05,35.5,35.0,35.0,5000
2021-01-26,35.4,35.5,34.9,35.25,28000
2021-01-27,35.45,35.5,35.45,35.5,7000
2021-01-28,35.5,35.5,34.9,34.9,7000
2021-01-29,35.45,35.5,34.9,35.45,20000
2021-02-01,34.5,35.4,34.5,34.9,22000
2021-02-02,34.75,35.1,34.75,35.0,16000
2021-02-03,35.0,35.2,34.5,35.2,18000
2021-02-04,35.0,35.0,35.0,35.0,2000
2021-02-05,35.1,35.4,35.0,35.4,17000
2021-02-17,38.5,38.5,37.2,38.1,98000
2021-02-18,39.95,39.95,38.1,38.7,89000
2021-02-19,38.1,38.65,38.1,38.6,18000
2021-02-22,38.8,39.15,38.8,39.1,51000
2021-02-23,38.65,39.0,38.4,38.7,15000
2021-02-24,38.7,38.95,38.4,38.9,32000
2021-02-25,38.9,39.25,38.8,39.05,35000
2021-02-26,39.0,39.1,38.75,38.75,9000
2021-03-02,42.6,42.6,41.25,42.5,400000
2021-03-03,41.0,41.3,38.6,40.1,247000
2021-03-04,40.0,40.0,38.3,38.4,115000
2021-03-05,37.85,38.55,37.8,38.55,32000
2021-03-08,38.6,38.75,38.05,38.75,24000
2021-03-09,38.35,38.75,37.9,38.4,21000
2021-03-10,38.05,38.6,38.05,38.3,15000
2021-03-11,38.8,38.9,38.2,38.9,33000
2021-03-12,40.7,40.7,39.2,39.75,27000
2021-03-15,39.55,40.5,39.3,40.45,36000
2021-03-16,41.45,41.45,40.55,41.0,96000
2021-03-17,41.5,44.0,41.0,42.3,204000
2021-03-18,42.05,43.0,41.25,41.8,97000
2021-03-19,42.7,42.7,41.3,41.4,48000
2021-03-22,42.0,42.5,40.8,42.5,124000
2021-03-23,42.5,42.5,41.0,41.4,56000
2021-03-24,40.6,41.6,40.5,41.45,33000
2021-03-25,41.55,41.55,41.2,41.35,20000
2021-03-26,41.55,41.65,40.65,41.65,49000
2021-03-29,40.85,41.4,40.85,41.4,45000
2021-03-30,41.7,42.5,41.0,42.35,135000
2021-03-31,42.25,44.85,42.25,42.5,443000
2021-04-01,42.8,43.85,42.1,42.75,191000
2021-04-06,43.45,46.6,42.5,46.0,310000
2021-04-07,46.05,47.65,43.55,46.0,278000
2021-04-08,46.3,46.6,44.4,45.2,110000
2021-04-09,44.1,44.65,41.4,41.55,330000
2021-04-12,41.65,42.25,41.15,41.2,114000
2021-04-13,41.2,41.2,40.85,40.85,87000
2021-04-14,41.4,41.6,40.5,40.65,55000
2021-04-15,41.35,41.95,41.0,41.75,47000
2021-04-16,42.3,42.3,41.2,41.4,24000
2021-04-19,41.2,41.2,40.25,40.5,85000
2021-04-20,40.75,40.85,40.5,40.5,43000
2021-04-21,40.2,41.1,40.2,41.0,19000
2021-04-22,41.6,41.6,39.85,40.1,70000
2021-04-23,40.4,40.85,40.25,40.75,25000
2021-04-26,41.2,41.2,40.5,40.6,35000
2021-04-27,40.8,40.8,40.5,40.55,18000
2021-04-28,41.4,41.4,41.1,41.2,9000
2021-04-29,41.15,41.3,40.5,40.55,33000
