Date,Open,High,Low,Close,Volume
2021-01-05,16.2,16.45,15.95,16.05,124000
2021-01-06,16.1,16.1,15.5,16.0,121000
2021-01-07,16.35,16.35,15.85,16.1,56000
2021-01-08,15.85,16.0,15.6,16.0,71000
2021-01-11,15.95,16.2,15.7,16.2,71000
2021-01-12,15.8,16.1,15.75,16.0,37000
2021-01-13,16.0,16.3,16.0,16.0,62000
2021-01-14,15.95,16.1,15.9,16.1,45000
2021-01-15,15.95,16.1,15.95,15.95,71000
2021-01-18,15.7,16.0,15.2,16.0,88000
2021-01-19,16.05,16.2,15.95,16.2,94000
2021-01-20,16.25,16.4,15.85,15.85,135000
2021-01-21,15.8,16.0,15.8,15.95,22000
2021-01-22,15.95,16.1,15.85,16.1,66000
2021-01-25,16.05,16.1,15.8,16.05,51000
2021-01-26,16.05,16.05,15.75,15.75,30000
2021-01-27,15.75,16.1,15.7,15.8,31000
2021-01-28,15.8,15.85,15.8,15.85,30000
2021-01-29,16.0,16.0,15.7,15.7,53000
2021-02-01,15.3,15.4,15.15,15.2,64000
2021-02-02,15.3,15.5,15.1,15.2,48000
2021-02-03,15.2,15.4,15.2,15.2,27000
2021-02-04,15.3,15.4,15.1,15.25,39000
2021-02-05,15.2,15.6,15.2,15.55,31000
2021-02-17,15.6,16.8,15.6,16.35,134000
2021-02-18,16.1,16.35,15.65,16.35,109000
2021-02-19,15.95,17.25,15.75,17.0,313000
2021-02-22,17.4,18.7,17.4,18.7,945000
2021-02-23,20.4,20.55,20.0,20.55,2019000
2021-02-24,21.0,21.5,18.8,19.7,1367000
2021-02-25,19.95,20.2,19.05,19.8,463000
2021-02-26,19.25,20.0,18.8,19.7,314000
2021-03-02,20.3,20.4,19.5,19.85,516000
2021-03-03,19.85,20.1,19.3,19.95,220000
2021-03-04,19.4,19.9,19.4,19.6,149000
2021-03-05,19.5,19.75,18.9,19.3,158000
2021-03-08,19.6,19.7,18.9,19.1,124000
2021-03-09,19.1,19.1,17.6,18.8,308000
2021-03-10,18.8,19.9,18.6,18.9,170000
2021-03-11,18.9,19.4,18.9,18.9,99000
2021-03-12,18.65,19.1,18.65,18.85,62000
2021-03-15,18.8,20.3,18.5,19.9,351000
