Date,Open,High,Low,Close,Volume
2021-01-05,21.45,23.55,21.05,23.55,7198000
2021-01-06,24.45,25.9,22.2,22.3,14263000
2021-01-07,22.2,22.9,21.6,22.1,3951000
2021-01-08,22.6,22.6,20.9,21.0,2865000
2021-01-11,20.8,21.6,20.7,21.35,1623000
2021-01-12,21.15,21.65,20.7,20.8,1407000
2021-01-13,20.9,22.2,20.9,21.75,1478000
2021-01-14,21.8,22.55,21.75,21.8,1162000
2021-01-15,22.2,23.2,21.55,22.1,2929000
2021-01-18,22.4,24.3,22.1,24.3,6430000
2021-01-19,24.4,25.45,23.0,23.4,10595000
2021-01-20,23.4,23.6,21.95,22.0,3337000
2021-01-21,22.1,22.75,22.0,22.35,1327000
2021-01-22,22.15,23.3,22.1,23.3,1101000
2021-01-25,23.55,24.3,23.2,23.3,2666000
2021-01-26,23.25,23.9,22.9,23.0,2227000
2021-01-27,23.25,25.3,23.1,25.1,7193000
2021-01-28,24.0,25.0,23.75,25.0,6330000
2021-01-29,27.5,27.5,26.45,26.9,15468000
2021-02-01,26.3,27.15,24.25,24.4,11969000
2021-02-02,24.6,25.65,24.0,24.0,8099000
2021-02-03,24.2,25.2,23.8,24.65,3907000
2021-02-04,24.65,25.6,24.35,25.2,5735000
2021-02-05,24.8,26.15,24.8,25.35,6411000
2021-02-17,26.15,27.85,25.6,27.85,10733000
2021-02-18,27.65,30.6,27.2,30.6,8518000
2021-02-19,33.65,33.65,33.65,33.65,1840000
2021-02-22,37.0,37.0,37.0,37.0,3599000
2021-02-23,36.55,40.35,33.3,37.35,28806000
2021-02-24,37.5,37.5,36.0,36.2,4175000
2021-02-25,37.75,38.2,35.05,38.0,5060000
2021-02-26,36.5,39.5,36.5,39.5,4095000
2021-03-02,40.55,43.45,38.75,38.9,8658000
2021-03-03,38.6,39.35,37.05,38.7,3595000
2021-03-04,38.7,39.45,37.7,38.0,2128000
2021-03-05,37.25,39.0,37.25,37.95,1518000
2021-03-08,39.55,39.55,34.9,35.7,3410000
2021-03-09,35.75,38.2,35.7,38.2,2869000
2021-03-10,38.3,39.45,38.3,38.95,3958000
2021-03-11,40.0,41.0,36.7,37.55,10295000
2021-03-12,38.0,40.35,37.55,38.25,8451000
2021-03-15,38.25,42.05,38.0,42.05,6694000
2021-03-16,46.25,46.25,46.25,46.25,2134000
2021-03-17,50.8,50.8,50.8,50.8,3614000
2021-03-18,50.8,53.9,48.35,50.8,38602000
2021-03-19,50.5,55.8,50.4,55.8,43157000
2021-03-22,55.0,56.8,51.4,51.4,43618000
2021-03-23,50.3,50.3,46.3,46.3,2083000
2021-03-24,44.1,46.5,44.1,45.5,3324000
2021-03-25,46.6,46.6,45.45,45.55,1310000
2021-03-26,46.25,47.2,45.6,46.5,1136000
2021-03-29,45.75,47.9,45.75,47.45,1180000
2021-03-30,47.45,49.3,47.45,49.2,1142000
2021-03-31,49.8,51.6,49.8,51.6,1545000
2021-04-01,52.5,54.2,52.5,53.7,2115000
2021-04-06,54.0,55.3,53.7,55.3,2094000
2021-04-07,55.6,58.1,55.6,58.1,2743000
2021-04-08,60.0,63.9,59.7,63.9,4584000
2021-04-09,69.1,69.3,57.7,57.7,27607000
2021-04-12,56.5,57.7,52.4,52.5,11607000
2021-04-13,54.3,57.5,52.5,52.5,6993000
2021-04-14,54.0,54.8,47.25,49.5,9359000
2021-04-15,51.3,53.6,49.3,52.6,5600000
2021-04-16,53.7,55.3,52.0,52.0,5794000
2021-04-19,52.0,52.4,47.55,47.6,5165000
2021-04-20,48.2,50.6,47.6,50.1,4410000
2021-04-21,50.0,50.5,48.3,48.5,3605000
2021-04-22,49.3,49.35,43.95,44.9,5878000
2021-04-23,45.0,49.35,43.7,49.35,6029000
2021-04-26,50.5,51.7,48.85,50.0,8401000
2021-04-27,50.1,51.6,48.5,49.85,4128000
2021-04-28,50.8,51.3,48.4,48.75,3254000
2021-04-29,48.5,50.3,48.0,48.2,2789000
2021-05-03,47.0,48.25,43.95,44.0,3671000
2021-05-04,43.1,44.25,39.6,42.05,5275000
2021-05-05,40.9,43.45,40.5,40.8,2656000
2021-05-06,41.2,42.3,39.25,41.4,2896000
2021-05-07,42.2,45.5,41.45,45.5,4220000
2021-05-10,45.8,47.9,44.2,44.65,3886000
2021-05-11,43.1,44.45,40.2,40.8,3510000
2021-05-12,40.8,42.0,36.75,36.8,5245000
2021-05-13,34.6,39.65,33.4,38.4,4237000
2021-05-14,40.1,42.0,37.4,37.75,3568000
2021-05-17,34.5,38.8,34.0,34.0,4017000
2021-05-18,35.8,37.4,35.0,37.4,2514000
2021-05-19,38.2,40.95,37.8,40.6,4237000
2021-05-20,39.1,40.3,37.55,38.7,2895000
2021-05-21,39.5,40.3,39.0,39.7,2088000
2021-05-24,39.0,41.8,38.3,40.9,2686000
2021-05-25,41.7,44.95,41.1,42.15,8144000
2021-05-26,42.5,42.75,40.65,41.4,3060000
2021-05-27,41.1,41.95,40.15,40.9,1701000
2021-05-28,41.8,43.45,41.6,42.2,3019000
2021-05-31,42.55,45.0,42.2,44.6,3446000
2021-06-01,44.8,49.05,44.1,49.05,13697000
2021-06-02,49.45,51.0,46.0,46.9,14386000
2021-06-03,46.9,48.3,46.05,46.6,4560000
2021-06-04,46.1,46.35,45.0,45.0,2929000
2021-06-07,45.5,46.05,43.0,45.3,2900000
2021-06-08,45.0,45.8,42.85,42.85,4221000
2021-06-09,42.5,44.4,41.85,42.6,4015000
2021-06-10,43.4,46.0,42.7,43.95,6219000
2021-06-11,44.35,47.8,44.1,46.35,11479000
2021-06-15,46.9,48.5,46.6,47.2,6068000
2021-06-16,47.6,48.75,45.3,45.75,6278000
2021-06-17,45.6,47.65,45.15,47.25,3510000
2021-06-18,48.0,48.4,46.2,46.75,5232000
2021-06-21,45.9,46.55,43.95,44.1,3266000
2021-06-22,44.9,45.2,42.6,42.65,2769000
2021-06-23,43.35,44.6,43.0,43.35,2051000
2021-06-24,43.85,44.2,43.0,43.5,1232000
2021-06-25,44.2,44.8,43.5,43.7,1376000
2021-06-28,43.7,44.8,42.9,43.95,2437000
2021-06-29,44.5,44.65,43.1,43.1,1637000
2021-06-30,43.8,43.9,42.8,42.8,1673000
2021-07-01,43.1,43.1,41.0,41.3,2836000
2021-07-02,41.2,45.4,41.2,45.4,7156000
2021-07-05,46.85,48.85,45.1,46.9,12800000
2021-07-06,46.2,46.4,44.45,44.45,4299000
2021-07-07,44.0,46.0,44.0,45.2,2822000
2021-07-08,45.65,48.85,45.5,48.0,12022000
2021-07-09,47.75,49.6,46.5,47.95,8114000
2021-07-12,48.5,52.7,48.5,52.7,12546000
2021-07-13,57.9,57.9,57.9,57.9,5346000
2021-07-14,54.3,56.2,52.2,52.2,23510000
2021-07-15,52.1,55.2,50.1,53.9,17491000
2021-07-16,53.5,57.2,52.9,54.3,13719000
2021-07-19,54.5,57.7,54.4,55.5,13073000
2021-07-20,59.7,61.0,59.2,61.0,7374000
2021-07-21,67.1,67.1,65.1,67.1,22757000
2021-07-22,68.8,70.8,65.6,68.3,34495000
2021-07-23,69.8,73.7,66.1,67.1,18599000
2021-07-26,69.2,72.3,68.0,71.0,13008000
2021-07-27,72.4,72.7,67.2,67.2,11755000
2021-07-28,60.1,60.1,60.1,60.1,1902000
2021-07-29,56.5,60.4,54.1,57.3,21954000
2021-07-30,57.0,61.0,56.0,56.9,10312000
2021-08-02,58.0,58.6,53.9,55.9,7310000
2021-08-03,57.3,58.9,55.2,56.2,6910000
2021-08-04,57.1,61.8,56.6,61.8,17402000
2021-08-05,62.1,67.0,62.1,62.6,27503000
2021-08-06,59.4,61.6,58.8,59.3,11446000
2021-08-09,57.0,58.6,54.0,54.5,8408000
2021-08-10,55.0,55.7,49.65,50.9,10042000
