Date,Open,High,Low,Close,Volume
2021-01-05,48.772368049537825,48.772368049537825,47.283133350340115,47.93467330932617,4426405
2021-01-06,48.21390405507002,48.67928923620121,44.956207787151676,45.88697814941406,8767439
2021-01-07,46.49197905736299,46.817747255168904,45.74736349765871,46.305824279785156,3643107
2021-01-08,46.53851631360176,46.72467108897757,45.235436436578105,45.37505340576172,4183790
2021-01-11,45.6542844518147,48.306982050303674,45.46812967375472,48.027748107910156,6350578
2021-01-12,48.02775296724576,49.51698779179592,47.376216504025464,48.400062561035156,12829934
2021-01-13,49.144671598906385,50.2615966796875,48.865441216362846,50.2615966796875,13598270
2021-01-14,49.51698114270241,50.72698183412905,48.865441216362846,50.2615966796875,7789066
2021-01-15,51.192371462922075,51.750832276820134,48.772369868554115,49.70314025878906,10288508
2021-01-18,49.703139765767965,50.07544578780457,47.74851983529871,48.772369384765625,3710242
2021-01-19,49.14467483620079,50.44775477471736,48.30698363338916,49.33082962036133,4851511
2021-01-20,49.51698733265135,49.70314212781994,46.5385212617762,47.46929168701172,5292811
2021-01-21,47.841600584744626,50.26160223507959,47.841600584744626,49.05160140991211,8057505
2021-01-22,49.051602257030595,53.89160919189453,48.958523083882646,53.89160919189453,34496749
2021-01-25,55.5669914638873,55.5669914638873,50.07544489377477,50.35467529296875,37151935
2021-01-26,49.982371679662265,50.35467771294435,47.376215244258326,47.5623664855957,14209554
2021-01-27,48.86544418334961,49.610059765545884,47.74851903475162,48.86544418334961,11509851
2021-01-28,48.02775071588035,50.7269862678046,47.74852030893132,49.70314025878906,9757786
2021-01-29,50.54083637621859,51.28545205042621,48.49314060919195,48.586219787597656,10157134
2021-02-01,48.86544839538549,49.051603194632264,47.09698312845236,47.84160232543945,4704725
2021-02-02,48.306984436115066,49.79621563293181,47.74852007435336,49.237754821777344,5083236
2021-02-03,49.61006546020508,50.72699073701312,48.86544979253557,49.61006546020508,5904372
2021-02-04,48.95852584939766,50.07545113601289,48.586219787597656,48.586219787597656,3321060
2021-02-05,49.0515962220048,49.42390221696801,47.93467113590124,48.21390151977539,3396171
2021-02-17,50.72698767773925,50.72698767773925,48.772371224161056,49.51698684692383,4787999
2021-02-18,49.42390198144993,50.54082706223104,48.958516827008374,50.2615966796875,3949912
